d","43.4%","1.2","42.1%","1.2",
"DP02",27.0,"Separated","3.3%","0.5","3.7%","0.5",
"DP02",28.0,"Widowed","2.0%","0.3","1.9%","0.3",
"DP02",29.0,"Divorced","8.4%","0.7","8.8%","0.7",
"DP02",29.3,,,,,,
"DP02",30.0,"Females 15 years and over","274,621","3,189","278,107","1,923",
"DP02",31.0,"Never married","35.9%","0.9","38.7%","0.8","*"
"DP02",32.0,"Now married, except separated","36.5%","0.9","34.6%","1.0",
"DP02",33.0,"Separated","4.2%","0.4","4.0%","0.5",
"DP02",34.0,"Widowed","7.2%","0.5","8.0%","0.5",
"D
