pothetical protein
SMT0898,NULL,892115,891342,pyridoxine kinase
SMT0899,NULL,892854,892105,tRNA pseudouridine synthase A
SMT0900,NULL,893648,892953,membrane protein, putative
SMT0901,NULL,894100,893618,membrane protein, putative
SMT0902,NULL,894855,894226,membrane protein, putative
SMT0903,NULL,895196,894858,alkylphosphonate utilization operon protein PhnA
SMT0904,NULL,895998,895327,cytidylate kinase
SMT0905,NULL,896499,896008,conserved hypothetical protein
SMT0906,NULL,896479,896742,ferredoxin
SMT0907,NULL
