ied spouse present,4,-,2,2,-,-,-,-,-,-
..Other family householder,37,1,35,1,-,-,-,-,-,-
NONFAMILY HOUSEHOLDER,,,,,,,,,,
Living alone,2,-,2,-,-,-,-,-,-,-
Living with nonrelatives,0,-,0,-,-,-,-,-,-,-
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,6,2,4,-,-,-,-,-,-,-
..Other,"3,905",818,"3,040",31,14,2,-,-,-,-
.NONRELATIVE,,,,,,,,,,
..Nonrelative,91,20,69,3,-,-,-,-,-,-
18 to 24 years,,,,,,,,,,
.Total,"8,797",101,"1,623","2,805","3,202",390,657,15,2,4
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse pre
