2.0%","*"
"DP05",67.0,"Mexican","6.8%","7.1%",
"DP05",68.0,"Puerto Rican","0.2%","0.1%",
"DP05",69.0,"Cuban","0.0%","0.1%","*"
"DP05",70.0,"Other Hispanic or Latino","4.5%","4.7%",
"DP05",71.0,"Not Hispanic or Latino","88.6%","88.0%","*"
"DP05",72.0,"White alone","75.3%","74.6%","*"
"DP05",73.0,"Black or African American alone","0.4%","0.4%",
"DP05",74.0,"American Indian and Alaska Native alone","10.7%","11.0%",
"DP05",75.0,"Asian alone","0.5%","0.5%",
"DP05",76.0,"Native Hawaiian and Other Pacific Islander
