5","+/-1,683","97,808","+/-6,860"
"S0201","236","51,918","+/-976","58,625","+/-3,902"
,"237",,,,
"S0201","237","52,372","+/-715","63,251","+/-4,069"
"S0201","238","41,831","+/-409","47,431","+/-2,491"
,"238",,,,
,"239",,,,
"S0201","239","5.9","+/-0.4","2.4","+/-0.8"
"S0201","240","9.3","+/-0.6","3.9","+/-1.4"
"S0201","241","10.0","+/-1.6","2.9","+/-2.9"
"S0201","242","2.2","+/-0.3","0.8","+/-0.5"
"S0201","243","2.7","+/-0.4","N","N"
"S0201","244","2.8","+/-1.0","N","N"
"S0201","245","20.8","+/-1.6","12.9","
