,2,143,9,75,6,118
,Four members,976,610,26,24,5,171,6,83,2,50
,Five members,453,243,18,16,4,85,9,49,3,27
,Six or more members,307,164,8,6,1,68,1,35,3,19
AGE OF REFERENCE PERSON,Under 20 years,3,-,-,-,-,1,-,-,-,2
,20-24 years,106,43,2,4,1,36,1,16,-,3
,25-29 years,279,176,4,16,4,56,4,8,-,12
,30-34 years,459,309,15,6,-,89,2,29,2,7
,35-39 years,485,332,18,16,2,78,4,20,4,10
,40-44 years,589,390,31,14,1,81,8,48,-,16
,45-54 years,"1,024",659,25,26,0,146,10,101,8,50
,55-64 years,661,255,5,6,4,120,6,121,8
