/-0.2",,,,,,,,,,
"S2506",35.0,"$700 to $799","1.5","+/-0.2",,,,,,,,,,
"S2506",36.0,"$800 to $899","2.0","+/-0.3",,,,,,,,,,
"S2506",37.0,"$900 to $999","1.6","+/-0.2",,,,,,,,,,
"S2506",38.0,"$1,000 to $1,249","5.0","+/-0.3",,,,,,,,,,
"S2506",39.0,"$1,250 to $1,499","6.8","+/-0.5",,,,,,,,,,
"S2506",40.0,"$1,500 to $1,999","17.8","+/-0.8",,,,,,,,,,
"S2506",41.0,"$2,000 or more","61.2","+/-1.0",,,,,,,,,,
"S2506",42.0,"Median (dollars)","2,325","+/-28",,,,,,,,,,
"S2506",42.3,,,,,,,,,,,,,
"S2506",42.5,"MONTHLY HO
