G TENURE",,,
"DP04",44.0,"Occupied housing units","583,441","577,755",
"DP04",45.0,"Owner-occupied","72.4%","72.9%",
"DP04",46.0,"Renter-occupied","27.6%","27.1%",
"DP04",46.3,,,,
"DP04",47.0,"Average household size of owner-occupied unit","2.60","2.62",
"DP04",48.0,"Average household size of renter-occupied unit","2.45","2.49",
"DP04",48.3,,,,
"DP04",48.5,"YEAR HOUSEHOLDER MOVED INTO UNIT",,,
"DP04",49.0,"Occupied housing units","583,441","577,755",
"DP04",50.0,"Moved in 2005 or later","19.3%","27.2%","*"
