16,240","69,068","+/-2,896"
"S0201","165","80.8","+/-0.4","72.1","+/-3.3"
"S0201","166","10.4","+/-0.3","16.7","+/-3.0"
"S0201","167","1.4","+/-0.1","2.6","+/-1.3"
"S0201","168","2.1","+/-0.1","3.3","+/-1.3"
"S0201","169","1.1","+/-0.1","1.3","+/-0.6"
"S0201","170","4.1","+/-0.2","4.0","+/-1.3"
"S0201","171","22.9","+/-0.2","21.3","+/-1.1"
,"171",,,,
"S0201","172","2,801,445","+/-15,257","69,114","+/-2,967"
,"173",,,,
"S0201","173","31.9","+/-0.4","19.2","+/-2.8"
"S0201","174","16.5","+/-0.3","25.0","+/-3.5
