",             ""
  "12",          27225
  "13",          27147
  "14",          14518
  "15",          12629
  "16",              0
  "17",             78
    "",             ""
  "18",        -259612
    "",             ""
  "19",        -250268
    "",             ""
  "20",        -233678
    "",             ""
  "21",         -16590
  "22",            -70
    "",             ""
  "23",          -6367
  "24",           -827
  "25",          -3578
    "",             ""
  "26",      
