
200960,CD86-01,,200164
200994,CD86-02,,200165
201182,CD86-03,,200166
201204,CD86-04,,200167
201116,CD86-05,,200168
201142,CD86-06,,200169
201166,CD86-07,,200170
201078,CD86-08,,200171
201088,CD86-09,,200172
201010,CD86-10,,200173
201042,CD86-11,,200174
236660,PE95-01,,200175
236662,PE95-02,,200176
236664,PE95-03,,200177
236666,PE95-04,,200178
238960,PE95-05,,200179
238966,PE95-06,,200180
238910,PE95-07,,200181
238918,PE95-08,,200182
238926,PE95-09,,200183
203026,F,,200184
203034,OMEXI
