eparated","1.7%","0.6","2.5%","0.9",
"DP02",28.0,"Widowed","3.5%","0.6","3.0%","0.6",
"DP02",29.0,"Divorced","16.5%","1.7","14.6%","1.3",
"DP02",29.3,,,,,,
"DP02",30.0,"Females 15 years and over","80,436","468","80,352","292",
"DP02",31.0,"Never married","18.1%","1.4","18.7%","1.5",
"DP02",32.0,"Now married, except separated","51.9%","2.0","51.8%","2.0",
"DP02",33.0,"Separated","2.2%","0.5","2.4%","0.6",
"DP02",34.0,"Widowed","12.0%","1.1","11.7%","1.1",
"DP02",35.0,"Divorced","15.8%","1.6","15.5%","1.4",
"
