 to $64,999","N","N","N","N"
"B20005B",70.000,"$65,000 to $74,999","N","N","N","N"
"B20005B",71.000,"$75,000 to $99,999","N","N","N","N"
"B20005B",72.000,"$100,000 or more","N","N","N","N"
"B20005B",73.000,"Other:","N","N","N","N"
"B20005B",74.000,"No earnings","N","N","N","N"
"B20005B",75.000,"With earnings:","N","N","N","N"
"B20005B",76.000,"$1 to $2,499 or loss","N","N","N","N"
"B20005B",77.000,"$2,500 to $4,999","N","N","N","N"
"B20005B",78.000,"$5,000 to $7,499","N","N","N","N"
"B20005B",79.000,"$7,500
