
SMT1719,NULL,1721385,1721693,S1 RNA binding domain protein
SMT1720,NULL,1722444,1721764,choline binding protein E
SMT1721,NULL,1723484,1722417,choline binding protein E
SMT1722,NULL,1723693,1725051,PhoU family family
SMT1723,NULL,1725246,1725148,conserved hypothetical protein
SMT1724,NULL,1725378,1725286,conserved hypothetical protein
SMT1725,NULL,1725631,1725362,conserved hypothetical protein
SMT1726,NULL,1725836,1725705,hypothetical protein
SMT1727,NULL,1725925,1726293,glutamyl-aminopeptidase
SMT1728,NUL
