s","12.6%","12.4%",
"DP05",11.0,"45 to 54 years","15.0%","15.1%",
"DP05",12.0,"55 to 59 years","6.8%","6.8%",
"DP05",13.0,"60 to 64 years","5.4%","6.0%","*"
"DP05",14.0,"65 to 74 years","7.9%","7.9%",
"DP05",15.0,"75 to 84 years","5.0%","4.9%",
"DP05",16.0,"85 years and over","1.8%","2.0%","*"
"DP05",16.3,,,,
"DP05",17.0,"Median age (years)","38.8","39.4",
"DP05",17.3,,,,
"DP05",18.0,"18 years and over","75.2%","75.5%",
"DP05",19.0,"21 years and over","70.3%","71.2%","*"
"DP05",20.0,"62 years and over","17.
