,,,,,,,,,
4 years ,- ,- ,657,657,,,,,,,,,,,,,
5 years ,- ,- ,193,193,,,,,,,,,,,,,
6 years ,- ,- ,104,104,,,,,,,,,,,,,
7 years ,- ,- ,67,67,,,,,,,,,,,,,
8 years ,- ,- ,52,52,,,,,,,,,,,,,
9 years ,- ,- ,84,84,,,,,,,,,,,,,
10 years ,- ,- ,85,85,,,,,,,,,,,,,
11 years ,- ,- ,47,47,,,,,,,,,,,,,
12 years ,- ,- ,42,42,,,,,,,,,,,,,
13 years ,- ,- ,26,26,,,,,,,,,,,,,
14 years ,- ,- ,47,47,,,,,,,,,,,,,
15 years ,- ,- ,111,99,,,,,,,,,,,,,
16 years ,19,- ,137,112,,,,,,,,,,,,,
17 years ,33,- ,346,240,,,,,,,
