","51.0","+/-0.5","52.2","+/-2.1"
"S0201","63","2.1","+/-0.1","0.5","+/-0.3"
"S0201","64","10.0","+/-0.3","3.4","+/-0.8"
"S0201","65","2.1","+/-0.1","3.3","+/-1.1"
"S0201","66","34.8","+/-0.4","40.6","+/-2.3"
,"66",,,,
"S0201","67","3,753,354","+/-3,746","108,051","+/-4,372"
"S0201","68","46.7","+/-0.5","59.2","+/-2.6"
"S0201","69","9.2","+/-0.2","1.9","+/-0.7"
"S0201","70","12.9","+/-0.3","5.0","+/-1.1"
"S0201","71","2.9","+/-0.2","3.1","+/-1.0"
"S0201","72","28.4","+/-0.3","30.8","+/-2.5"
,"72",,,,
,"73",
