1
200994,CD86-2/02-BC5,,200092
201182,CD86-3/03-BC4,,200093
201088,CD86-9/09-BC1,,200094
238930,PE95-01,,200106
238936,PE95-02,,200107
238904,PE95-03,,200108
238950,PE95-04,,200109
236668,PE95-05,,200110
236670,PE95-06,,200111
236672,PE95-07,,200112
236674,PE95-08,,200113
236676,PE95-09,,200114
238866,PLG93/OMEX-III,,200130
238932,PE95-02/TROL,,200131
238940,PE95-03/TROL,,200134
238946,PE95-04/TROL,,200137
238964,PE95-06/TROL,,200141
238970,PE95-07/TROL,,200144
238922,PE95-09/TROL,,200147
