5,588476,hypothetical protein
SMT0631,NULL,589162,588473,licC protein
SMT0632,NULL,590052,589174,licB protein
SMT0633,NULL,590911,590042,choline kinase
SMT0634,NULL,591968,590928,oxidoreductase, zinc-binding dehydrogenase family superfamily
SMT0635,NULL,592662,591955,MW0227
SMT0636,NULL,592949,592857,hypothetical protein
SMT0637,NULL,592997,594484,polysaccharide biosynthesis protein, putative
SMT0638,NULL,594494,595297,licD1 protein, putative
SMT0639,NULL,595299,596108,licD Protein
SMT0640,NULL,599354,59617
