50 to $1,499","N","N","N","N"
"B25122",33.000,"$1,500 to $1,999","N","N","N","N"
"B25122",34.000,"$2,000 or more","N","N","N","N"
"B25122",35.000,"No cash rent","N","N","N","N"
"B25122",36.000,"$20,000 to $34,999:","N","N","N","N"
"B25122",37.000,"With cash rent:","N","N","N","N"
"B25122",38.000,"Less than $100","N","N","N","N"
"B25122",39.000,"$100 to $199","N","N","N","N"
"B25122",40.000,"$200 to $299","N","N","N","N"
"B25122",41.000,"$300 to $399","N","N","N","N"
"B25122",42.000,"$400 to $499","N","N","N
