4",183
,Kerosene,,,99,0,0,0,0,99,4
,Distillate Fuel Oil,,,"7,027",182,459,174,"1,505","9,347",334
,,15 ppm sulfur and under,,"3,447",55,63,93,"1,077","4,735",169
,,,Bonded,0,0,0,0,27,27,1
,,,Other,"3,447",55,63,93,"1,050","4,708",168
,,Greater than 15 ppm to 500 ppm sulfur,,261,113,0,65,263,702,25
,,,Bonded,0,24,0,0,0,24,1
,,,Other,261,89,0,65,263,678,24
,,Greater than 500 ppm to 2000 ppm sulfur,,"1,937",0,396,16,165,"2,514",90
,,,Bonded,0,0,0,0,0,0,0
,,,Other,"1,937",0,396,16,165,"2,514",90
,,G
