59 years","6.0%","0.5","6.7%","0.4",
"DP05",13.0,"60 to 64 years","5.0%","0.5","3.9%","0.4","*"
"DP05",14.0,"65 to 74 years","6.9%","0.2","6.5%","0.4",
"DP05",15.0,"75 to 84 years","4.1%","0.3","4.1%","0.4",
"DP05",16.0,"85 years and over","1.0%","0.2","1.2%","0.2",
"DP05",16.3,,,,,,
"DP05",17.0,"Median age (years)","38.5","**","36.9","**","*"
"DP05",17.3,,,,,,
"DP05",18.0,"18 years and over","77.4%","*****","76.9%","0.1","*"
"DP05",19.0,"21 years and over","72.7%","0.7","72.4%","0.8",
"DP05",20.0,"62 years
