2",70.0,"With a disability","8.6%","0.3","9.6%","0.4","*"
"DP02",70.3,,,,,,
"DP02",71.0,"Population 5 to 15 years","103,877","1,484","106,466","1,736",
"DP02",72.0,"With a disability","4.1%","0.5","5.7%","0.8","*"
"DP02",72.3,,,,,,
"DP02",73.0,"Population 16 to 64 years","439,957","3,313","446,242","3,039",
"DP02",74.0,"With a disability","6.1%","0.4","6.6%","0.5",
"DP02",74.3,,,,,,
"DP02",75.0,"Population 65 years and over","80,354","1,154","80,048","1,163",
"DP02",76.0,"With a disability","28.2%","1.4","3
