083","+/-5,190","72.2","+/-2.5"
"DP03",3.0,"Civilian labor force","76,083","+/-5,190","72.2","+/-2.5"
"DP03",4.0,"Employed","72,129","+/-4,847","68.4","+/-2.4"
"DP03",5.0,"Unemployed","3,954","+/-1,053","3.8","+/-0.9"
"DP03",6.0,"Armed Forces","0","+/-303","0.0","+/-0.2"
"DP03",7.0,"Not in labor force","29,328","+/-2,904","27.8","+/-2.5"
"DP03",7.3,,,,,
"DP03",8.0,"Civilian labor force","76,083","+/-5,190","100","(X)"
"DP03",9.0,"Unemployed","5.2","+/-1.3","(X)","(X)"
"DP03",9.3,,,,,
"DP03",10.0,"Females 16
