,2,10
,One own child 6-17,33,16,2,2,9,-,1,1,3
,Two own children under 6-17,6,2,-,-,1,-,-,2,-
,Three own children under 6-17,5,5,-,-,-,-,-,-,-
NUMBER OF OWN CHILDREN 12-17 YEARS,Without own children 12-17,96,41,4,4,23,3,5,5,12
,One own child 12-17,20,10,2,2,5,-,1,-,2
,Two own children 12-17,6,6,-,-,-,-,-,-,-
NUMBER OF OWN CHILDREN 6-11 YEARS,Without own children 6-11,99,47,6,6,20,3,6,2,12
,One own child 6-11,20,10,-,-,7,-,-,1,1
,Two own children 6-11,2,0,-,-,-,-,-,2,-
NUMBER OF OWN CHILDREN UNDER 6
