1","15.2","+/-0.7"
"S0201","11","6.1","+/-0.1","9.5","+/-0.5"
"S0201","12","5.4","+/-0.1","9.1","+/-0.6"
,"12",,,,
"S0201","13","37.3","+/-0.2","45.3","+/-0.8"
,"13",,,,
"S0201","14","75.7","+/-0.1","80.4","+/-1.0"
"S0201","15","71.4","+/-0.1","76.6","+/-0.9"
"S0201","16","14.2","+/-0.1","22.5","+/-0.9"
"S0201","17","11.5","+/-0.1","18.6","+/-0.8"
,"17",,,,
"S0201","18","1,362,132","+/-1,352","105,478","+/-7,025"
"S0201","19","51.1","+/-0.2","50.4","+/-2.3"
"S0201","20","48.9","+/-0.2","49.6","+/-2.3"
,"20"
