9
    "",             ""
    "",             ""
    "",             ""
  "40",         -39363
    "",             ""
  "41",              0
  "42",              0
  "43",              0
  "44",              0
  "45",              0
    "",             ""
  "46",              0
  "47",              0
  "48",              0
  "49",              0
    "",             ""
  "50",         -39363
  "51",         -18301
  "52",         -14720
  "53",          -3188
  "54",          -3154
    "
