9",
"DP02",70.3,,,,,,
"DP02",71.0,"Population 5 to 15 years","27,162","669","25,004","513","*"
"DP02",72.0,"With a disability","5.4%","1.4","8.7%","1.8",
"DP02",72.3,,,,,,
"DP02",73.0,"Population 16 to 64 years","111,150","793","113,036","723","*"
"DP02",74.0,"With a disability","17.9%","1.4","16.6%","1.3",
"DP02",74.3,,,,,,
"DP02",75.0,"Population 65 years and over","40,308","195","39,042","341","*"
"DP02",76.0,"With a disability","38.8%","2.2","42.0%","2.4",
"DP02",76.3,,,,,,
"DP02",76.5,"RESIDENCE 1 YEAR
