+/-0.4"
,"266",,,,
,"267",,,,
"S0201","267","4.7","+/-0.3","5.3","+/-0.6"
"S0201","268","7.9","+/-0.3","9.0","+/-0.9"
"S0201","269","13.4","+/-0.4","14.8","+/-1.3"
"S0201","270","27.6","+/-0.6","27.6","+/-1.9"
"S0201","271","23.4","+/-0.5","21.9","+/-1.4"
"S0201","272","22.9","+/-0.5","21.4","+/-1.6"
,"272",,,,
,"273",,,,
"S0201","273","8.2","+/-0.4","4.5","+/-0.9"
"S0201","274","91.8","+/-0.4","95.5","+/-0.9"
,"274",,,,
,"275",,,,
"S0201","275","32.9","+/-0.5","26.9","+/-1.7"
"S0201","276","14.9","+/-0.4",
