            "",            "",             ""
  "30",           459,         -2297,           7038
  "31",          1615,          2122,          12335
    "",            "",            "",             ""
    "",            "",            "",             ""
    "",            "",            "",             ""
  "32",          6135,         34539,         833092
    "",            "",            "",             ""
  "33",         -9799,         14183,         452601
  "34",         11336,         16
