ployed civilians,"24,918","23,076","1,026",323,238,61,145,47
".Management, business, and financial","5,191","4,868",170,50,51,20,25,7
.Professional,"4,559","4,220",153,63,49,6,58,9
.Service,"2,265","2,034",135,47,28,7,7,7
.Sales,"2,809","2,605",117,31,36,11,9,-
.Office and Administrative support,"1,407","1,291",75,17,16,3,3,2
".Farming, fishing, and forestry",181,172,4,3,1,1,-,-
.Construction and extraction ,2222,2050,113,34,9,1,15,2
".Installation, maintenance, and repair","1,641","1,549",50,24,13,4,1,-
.P
